entry_id,source_dataset,source_record_id,name_raw,name_canonical,site_type_tags,evidence_mode,primary_source,corroboration_status,corroborating_sources,active_raw,start_year,end_year,decades_norm,time_basis,address_raw,lat,lon,space_basis,spatial_precision,audit_note
S1:21616,S1,21616,Esther Eng & Bo Bo Restaurant,Esther Eng & Bo Bo Restaurant,[],institutional_inventory,,single_source,[],,,,"[""1950s""]",S1.decades_reported,20½ Pell Street,40.71488709,-73.99810465,source_coordinates,point,
S1:21538,S1,21538,María Irene Fornés Residence,María Irene Fornés Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,1 Sheridan Square,40.73283159,-74.00178473,source_coordinates,point,
S1:21454,S1,21454,Antonia Pantoja Residence,Antonia Pantoja Residence,[],institutional_inventory,,single_source,[],,,,"[""1950s"", ""1960s""]",S1.decades_reported,70 La Salle Street,40.812616,-73.9574324,source_coordinates,point,
S1:21313,S1,21313,"Susan B. Anthony, Women’s Rights Pioneers Monument","Susan B. Anthony, Women’s Rights Pioneers Monument",[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,"Literary Walk, The Mall, Central Park",40.7707472,-73.97224748,source_coordinates,point,
S1:21107,S1,21107,Stop the Hate Radio Actions at the Spanish Broadcasting System Headquarters,Stop the Hate Radio Actions at the Spanish Broadcasting System Headquarters,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,26 West 56th Street,40.7628202,-73.97596653,source_coordinates,point,
S1:21098,S1,21098,Susie M. Barstow Residence & Studio,Susie M. Barstow Residence & Studio,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s""]",S1.decades_reported,602 Carlton Avenue,40.6788258,-73.9721128,source_coordinates,point,
S1:21093,S1,21093,L. Adele Cuinet & Helen Severine Lassen Residence & Medical Offices,L. Adele Cuinet & Helen Severine Lassen Residence & Medical Offices,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s"", ""1900s"", ""1910s"", ""1920s"", ""1930s""]",S1.decades_reported,152 Henry Street,40.6961245,-73.9939044,source_coordinates,point,
S1:20978,S1,20978,Ana María Simo & Kelly Cogswell Residence,Ana María Simo & Kelly Cogswell Residence,[],institutional_inventory,,single_source,[],,,,"[""1980s"", ""1990s""]",S1.decades_reported,52 East 1st Street,40.7239136,-73.9894536,source_coordinates,point,
S1:20958,S1,20958,Susan B. Anthony Academy (Intermediate School 238),Susan B. Anthony Academy (Intermediate School 238),[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s""]",S1.decades_reported,88-15 182nd Street,40.7127772,-73.780183,source_coordinates,point,
S1:20967,S1,20967,Emma Lazarus High School for English Language Scholars,Emma Lazarus High School for English Language Scholars,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s""]",S1.decades_reported,100 Hester Street,40.7161943,-73.9933849,source_coordinates,point,
S1:20894,S1,20894,Muriel Miguel Residence & Spiderwoman Theater Headquarters,Muriel Miguel Residence & Spiderwoman Theater Headquarters,[],institutional_inventory,,single_source,[],,,,"[""1930s"", ""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,333 Degraw Street,40.6831939,-73.9932987,source_coordinates,point,
S1:20924,S1,20924,Rising Cafe,Rising Cafe,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,186 5th Avenue,40.6772751,-73.9802097,source_coordinates,point,
S1:20621,S1,20621,Frances Perkins Residence,Frances Perkins Residence,[],institutional_inventory,,single_source,[],,,,"[""1910s""]",S1.decades_reported,164 Waverly Place,40.7334323,-74.0015739,source_coordinates,point,
S1:20452,S1,20452,Amaza Lee Meredith Residence,Amaza Lee Meredith Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s""]",S1.decades_reported,416 West 146th Street,40.824957,-73.945316,source_coordinates,point,
S1:20307,S1,20307,Medusa’s Revenge,Medusa’s Revenge,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s""]",S1.decades_reported,10 Bleecker Street,40.7252187,-73.9929764,source_coordinates,point,
S1:19878,S1,19878,Stormé DeLarverie Residence at the Chelsea Hotel,Stormé DeLarverie Residence at the Chelsea Hotel,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,222 West 23rd Street,40.74447332,-73.99704652,source_coordinates,point,
S1:19800,S1,19800,Pauline Newman & Frieda Miller Residence,Pauline Newman & Frieda Miller Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,299 West 12th Street,40.7376711,-74.005183,source_coordinates,point,
S1:19801,S1,19801,Rose Schneiderman Residence,Rose Schneiderman Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s""]",S1.decades_reported,1940 Andrews Avenue,40.8547911,-73.9126526,source_coordinates,point,
S1:19802,S1,19802,The Triangle Fire & Women’s Trade Union League,The Triangle Fire & Women’s Trade Union League,[],institutional_inventory,,single_source,[],,,,"[""1900s""]",S1.decades_reported,23-29 Washington Place,40.730095,-73.995358,source_coordinates,point,
S1:19646,S1,19646,Nancy Hamilton Residence,Nancy Hamilton Residence,[],institutional_inventory,,single_source,[],,,,"[""1930s"", ""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s""]",S1.decades_reported,411 East 51st Street,40.7544352,-73.9650438,source_coordinates,point,
S1:19574,S1,19574,Phyllis Saperstein Residence & Office,Phyllis Saperstein Residence & Office,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s""]",S1.decades_reported,25 West 10th Street,40.7341387,-73.9967534,source_coordinates,point,
S1:19409,S1,19409,Kay Tobin Lahusen Residence,Kay Tobin Lahusen Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s""]",S1.decades_reported,337 East 13th Street,40.7311863,-73.9837658,source_coordinates,point,
S1:19259,S1,19259,New York Infirmary for Indigent Women & Children,New York Infirmary for Indigent Women & Children,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s""]",S1.decades_reported,58 Bleecker Street,40.7259438,-73.9950548,source_coordinates,point,
S1:19233,S1,19233,USTA Billie Jean King National Tennis Center,USTA Billie Jean King National Tennis Center,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,Flushing Meadows-Corona Park,40.75045708,-73.84534076,source_coordinates,point,
S1:19107,S1,19107,City and Country School,City and Country School,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s"", ""1940s"", ""1950s""]",S1.decades_reported,146 West 13th Street,40.7373347,-73.9994162,source_coordinates,point,
S1:19063,S1,19063,Caroline Pratt & Helen Marot Residence,Caroline Pratt & Helen Marot Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s"", ""1940s"", ""1950s""]",S1.decades_reported,252 West 12th Street,40.7374559,-74.0027216,source_coordinates,point,
S1:18998,S1,18998,Lucille Kyvallos Court,Lucille Kyvallos Court,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s"", ""1980s""]",S1.decades_reported,65-30 Kissena Boulevard,40.7369717,-73.8151735,source_coordinates,point,
S1:18821,S1,18821,Emma Lazarus Memorial Plaque,Emma Lazarus Memorial Plaque,[],institutional_inventory,,single_source,[],,,,"[""1950s""]",S1.decades_reported,Battery Park,40.704187,-74.015275,source_coordinates,point,
S1:18822,S1,18822,Jane Addams Memorial,Jane Addams Memorial,[],institutional_inventory,,single_source,[],,,,"[""1930s""]",S1.decades_reported,City Hall Park,40.712448,-74.007043,source_coordinates,point,
S1:18825,S1,18825,Eleanor Roosevelt Monument,Eleanor Roosevelt Monument,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,Riverside Park,40.78106881,-73.98596435,source_coordinates,point,
S1:18826,S1,18826,Gertrude Stein Monument,Gertrude Stein Monument,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,Bryant Park,40.75333038,-73.98313138,source_coordinates,point,
S1:18827,S1,18827,Alice Austen Park,Alice Austen Park,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,2 Hylan Boulevard,40.6147612,-74.06279013,source_coordinates,point,
